"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"pX398.264938354492...1324.00012207031","pX398.264938354492...1324.00012207031",1.7975536005401,8.06833778999389e-12,-2.75438946093635
"pX217.028198242188...1324.80004882812","pX217.028198242188...1324.80004882812",1.74956396425775,3.02914333270462e-12,-1.86251369499955
"pX355.086441040039...954.400024414062","pX355.086441040039...954.400024414062",1.74043807052172,8.78338382022046e-13,-2.64044368153534
"pX355.428192138672...954.400024414062","pX355.428192138672...954.400024414062",1.69800627312921,2.18977190327994e-12,-2.0692633194041
"pX400.267333984375...1502.40002441406","pX400.267333984375...1502.40002441406",1.74517823194075,3.3099812652707e-10,-2.33451356923088
"pX299.4130859375...954.400024414062","pX299.4130859375...954.400024414062",1.71638461055435,1.75318989710225e-12,-3.41757210866119
"pX299.0498046875...954.400024414062","pX299.0498046875...954.400024414062",1.69536841533537,2.17845282205541e-12,-3.49793544160319
"pX300.090484619141...953.600036621094","pX300.090484619141...953.600036621094",1.72676973673224,1.22530474433449e-12,-5.59909819740657
"pX179.060989379883...954.400024414062","pX179.060989379883...954.400024414062",1.73773944505712,1.01365433565541e-12,-4.36228726396488
"pX355.194396972656...954.400024414062","pX355.194396972656...954.400024414062",1.68611263334822,2.65526215040224e-12,-3.70606963647677
"pX363.371185302734...1043.19995117188","pX363.371185302734...1043.19995117188",1.80724471445116,3.99649612593264e-12,-3.63976087515257
"pX330.18083190918...1324.06567382812","pX330.18083190918...1324.06567382812",1.73906157309317,1.77925292292998e-11,-1.91979945570404
"nX353.298187255859...653.050903320312","nX353.298187255859...653.050903320312",1.75801955975416,8.65849970060603e-12,-2.58724921713649
"pX179.048202514648...953.600036621094","pX179.048202514648...953.600036621094",1.72261259076561,1.29388791275206e-12,-3.75542177102247
"nX354.177886962891...653.063049316406","nX354.177886962891...653.063049316406",1.76814348027269,1.55041676407788e-12,-4.51365792694764
"pX299.148895263672...954.400024414062","pX299.148895263672...954.400024414062",1.72250800763334,1.29388791275206e-12,-1.97368628614693
"pX356.148284912109...954.399963378906","pX356.148284912109...954.399963378906",1.68037643547577,3.02914333270462e-12,-1.88707411403019
"pX364.244995117188...1043.19995117188","pX364.244995117188...1043.19995117188",1.7883275585583,4.14536563784455e-12,-4.31203746134665
"pX300.074005126953...954.399963378906","pX300.074005126953...954.399963378906",1.69571794283252,2.17845282205541e-12,-3.05220828205731
"pX356.16633605957...954.399963378906","pX356.16633605957...954.399963378906",1.66965456886229,3.83635562511988e-12,-2.02746056643302
"nX353.316192626953...653.114624023438","nX353.316192626953...653.114624023438",1.73345725829003,1.37852392797629e-11,-2.66581690532646
"pX356.202392578125...954.400024414062","pX356.202392578125...954.400024414062",1.66518791360392,4.55259424245345e-12,-4.56434414175074
"pX355.716186523438...954.400024414062","pX355.716186523438...954.400024414062",1.67770589045724,3.33787000208787e-12,-2.67800445298579
