"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"pX399.294036865234...1502.40002441406","pX399.294036865234...1502.40002441406",1.86227434231389,2.2832326515474e-10,-1.44425671269636
"pX296.135589599609...1043.19995117188","pX296.135589599609...1043.19995117188",1.84355145525526,3.09064405693006e-12,-2.89120878878479
"pX411.186492919922...609.600036621094","pX411.186492919922...609.600036621094",1.80958304964887,8.92151334944827e-07,-3.05161169705262
"pX363.371185302734...1043.19995117188","pX363.371185302734...1043.19995117188",1.80724471445116,3.99649612593264e-12,-3.63976087515257
"pX364.26318359375...1043.19995117188","pX364.26318359375...1043.19995117188",1.80315816434706,2.65526215040224e-12,-4.74946041812308
"pX398.264938354492...1324.00012207031","pX398.264938354492...1324.00012207031",1.7975536005401,8.06833778999389e-12,-2.75438946093635
"pX398.22688293457...1324.00012207031","pX398.22688293457...1324.00012207031",1.79118655740529,2.17845282205541e-12,-1.09648079353768
"pX364.244995117188...1043.19995117188","pX364.244995117188...1043.19995117188",1.7883275585583,4.14536563784455e-12,-4.31203746134665
"pX363.280181884766...1043.19995117188","pX363.280181884766...1043.19995117188",1.78233039548885,5.10250122301385e-12,-4.41341273306617
"pX364.190292358398...1043.19995117188","pX364.190292358398...1043.19995117188",1.78125090369248,4.61934766166123e-12,-5.80929568224695
"pX411.205841064453...609.600036621094","pX411.205841064453...609.600036621094",1.77398208650531,1.07340280711717e-06,-2.81154455456568
"nX354.177886962891...653.063049316406","nX354.177886962891...653.063049316406",1.76814348027269,1.55041676407788e-12,-4.51365792694764
"pX240.09309387207...1042.40002441406","pX240.09309387207...1042.40002441406",1.76285702032283,8.08504236213101e-12,-2.88972430220978
"pX365.229248046875...1043.19995117188","pX365.229248046875...1043.19995117188",1.76093855555912,1.93326610156575e-11,-2.37938490395489
"pX363.389389038086...1043.19995117188","pX363.389389038086...1043.19995117188",1.76086113335072,8.12774171865755e-12,-2.69641193588875
"pX462.28450012207...1043.19995117188","pX462.28450012207...1043.19995117188",1.75870853436466,1.03885350351156e-11,-2.51618456696627
"nX353.298187255859...653.050903320312","nX353.298187255859...653.050903320312",1.75801955975416,8.65849970060603e-12,-2.58724921713649
"pX180.032989501953...954.400024414062","pX180.032989501953...954.400024414062",1.75527642861554,8.30323113037481e-13,-7.99683852813019
"pX273.114807128906...1324.59289550781","pX273.114807128906...1324.59289550781",1.75503397926626,1.71516991119939e-12,-1.24963288210018
"pX599.42051188151...2107.19995117188","pX599.42051188151...2107.19995117188",1.75079493447538,1.45555762615898e-12,-3.56730725120522
"pX179.009902954102...954.399963378906","pX179.009902954102...954.399963378906",1.75002756157127,8.30323113037481e-13,-3.93352969022021
"pX217.028198242188...1324.80004882812","pX217.028198242188...1324.80004882812",1.74956396425775,3.02914333270462e-12,-1.86251369499955
"pX397.21809387207...1324.00012207031","pX397.21809387207...1324.00012207031",1.74954532007136,2.22131245173092e-12,-1.03451473976464
"pX299.132385253906...954.400024414062","pX299.132385253906...954.400024414062",1.74861301299268,8.30323113037481e-13,-3.77920856738306
"pX273.098999023438...1324.00012207031","pX273.098999023438...1324.00012207031",1.74858897522426,2.17845282205541e-12,-1.32125334748896
"pX363.261993408203...1043.19995117188","pX363.261993408203...1043.19995117188",1.74801539446726,9.12407125481565e-12,-3.17577951997401
"pX179.022689819336...953.600036621094","pX179.022689819336...953.600036621094",1.74690547881425,8.30323113037481e-13,-9.03361270403118
"pX400.267333984375...1502.40002441406","pX400.267333984375...1502.40002441406",1.74517823194075,3.3099812652707e-10,-2.33451356923088
"pX299.066284179688...953.60009765625","pX299.066284179688...953.60009765625",1.74331453388309,8.78338382022046e-13,-4.24371472215647
"pX463.311080932617...1042.650390625","pX463.311080932617...1042.650390625",1.74327841028517,1.52193559764882e-11,-1.25756488748144
"pX462.387100219727...1043.20007324219","pX462.387100219727...1043.20007324219",1.74288602651808,2.08540681134393e-11,-1.58423318145367
"pX355.086441040039...954.400024414062","pX355.086441040039...954.400024414062",1.74043807052172,8.78338382022046e-13,-2.64044368153534
"pX299.082794189453...953.600036621094","pX299.082794189453...953.600036621094",1.74021186218504,8.78338382022046e-13,-2.80647718546637
"pX330.18083190918...1324.06567382812","pX330.18083190918...1324.06567382812",1.73906157309317,1.77925292292998e-11,-1.91979945570404
"pX179.060989379883...954.400024414062","pX179.060989379883...954.400024414062",1.73773944505712,1.01365433565541e-12,-4.36228726396488
"pX179.035491943359...953.600036621094","pX179.035491943359...953.600036621094",1.73732229570585,8.96027864596707e-13,-4.71269487067457
