n353.316192626953,n353.118804931641,p223.087799072266,p239.073699951172,p279.109497070312,p279.125396728516,p356.328491210938,p180.020202636719,p356.292434692383,p299.264404296875,n333.455291748047,n333.699279785156,p167.022598266602,p410.200088500977,p410.180740356445,p293.186706542969,p293.10498046875,n484.326385498047,p410.219436645508,n347.153991699219,n346.975677490234,n348.132293701172,p223.059295654297,n346.922302246094,n346.993499755859,n233.110488891602,n278.25830078125,p225.087997436523,p293.153991699219,p293.121246337891,p207.077697753906,p223.301696777344,p399.275039672852,n346.955993652344,n361.145599365234,n348.239196777344,p371.218002319336,n347.544891357422,p846.556864420573,n348.274780273438,n376.265380859375,p371.162796020508,n347.456146240234,n278.449401855469,n347.580383300781,p277.119903564453,p167.034896850586,n375.525177001953,p225.087997436523,p167.04719543457,n349.201690673828,n278.624206542969,p281.13818359375,n347.562591552734,n347.758392333984,p281.122192382812,p293.448577880859,p294.118896484375,n306.167388916016,n375.247802734375,p401.107940673828,p385.193695068359
653.114624,653.4835815,1072.800049,1042.400146,1072.800049,1072.800049,954.4000244,954.3999939,954.4000244,954.3999634,1072.800049,1072.800049,1293.599976,609.6000366,609.6000366,1186.400024,1225.600098,2025.974609,609.6000366,1186.400024,1186.547241,1186.400024,1187.200073,1187.183472,1186.400024,952.7999878,1186.400024,1186.710815,1186.400024,1225.600098,1186.985474,1187.199951,1155.200073,1187.183472,1324.800049,1186.394409,967.2000122,1186.399902,2093.600098,1186.400024,1415.200073,966.4000244,1186.399963,1186.399902,1186.403015,710.4000244,1268.000122,1416.799927,967.2000122,1293.599976,1186.055359,1186.399963,967.2000122,1186.399902,1186.400024,967.2000122,1187.199951,1186.400024,1413.599976,1412.92157,707.2000122,1293.600098
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole dataset metrics,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,time sec,VIP,t_test_table$adj.P.Val,FC_table$logFC,group,polarityXmz,"time, min",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.6000366,1.714617306,0.891448679,-0.722113696,1,p410.180740356445,10.16000061,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.6000366,1.719995361,0.865851236,-0.932087716,1,p410.200088500977,10.16000061,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.6000366,1.686315377,0.964737865,-0.019639047,1,p410.219436645508,10.16000061,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.114624,1.733457258,2.79E-07,-1.45410198,2,n353.316192626953,10.88524373,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.4835815,1.629340736,0.330041138,0.995020043,2,n353.118804931641,10.89139303,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.2000122,1.243801526,1.13E-06,-1.06876147,3,p401.107940673828,11.78666687,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.4000244,1.414280632,0.001206863,0.714298686,4,p277.119903564453,11.84000041,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.7999878,1.478058478,2.50E-10,-0.492598362,5,n233.110488891602,15.8799998,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.3999634,1.632598318,1.55E-12,-3.112219762,6,p299.264404296875,15.90666606,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.3999939,1.67770023,8.29E-13,-7.996838528,6,p180.020202636719,15.90666656,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.4000244,1.5907858,8.99E-12,-2.87982931,6,p356.292434692383,15.90666707,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.4000244,1.646049137,1.30E-10,-1.807699752,6,p356.328491210938,15.90666707,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.4000244,1.426303872,0.000250106,-1.035708352,7,p371.162796020508,16.10666707,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.2000122,1.279989069,0.003831311,-0.00675559,8,p225.087997436523,16.1200002,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.2000122,1.254942689,6.87E-07,0.433217522,8,p281.122192382812,16.1200002,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.2000122,1.262666082,1.28E-05,0.811743846,8,p281.13818359375,16.1200002,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.2000122,1.384931028,0.955499187,-1.839961917,8,p371.218002319336,16.1200002,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042.400146,1.681199573,3.13E-08,-0.855620422,9,p239.073699951172,17.37333577,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.800049,1.568589377,2.85E-10,-2.231651969,10,n333.455291748047,17.88000081,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.800049,1.603046497,7.34E-10,-1.770665227,10,n333.699279785156,17.88000081,,,,,,,,,,,,,,,,,,,,
